ID,Name,JobClass,Level,Rarity,HP,MP,Attack,Defense,MagicPower,Speed,CritRate,CritDamage,Accuracy,Evasion,Skill1,Skill2,Skill3,Description
char_024,밤의 군주 레이븐,Assassin,7,Epic,220,90,60,22,25,32,0.40,2.5,0.93,0.35,501,508,509,"암살자 길드의 수장. 그림자를 자유자재로 조종한다."
char_025,죽음의 그림자 아자젤,Assassin,10,Legendary,300,120,85,30,35,40,0.50,3.0,0.95,0.40,501,510,511,"죽음 그 자체인 전설의 암살자. 그의 칼날은 절대 빗나가지 않는다."
char_026,신참 궁수 로빈,Ranger,1,Common,95,40,16,8,6,12,0.20,1.8,0.98,0.15,601,602,603,"숲에서 자란 젊은 궁수. 동물들과 교감하는 능력이 있다."
char_027,매의 눈 실바나,Ranger,3,Uncommon,140,55,25,12,10,16,0.25,1.8,0.99,0.18,601,604,605,"절대 빗나가지 않는 명사수. 바람을 읽어 화살의 궤적을 조정한다."
char_028,정령궁수 레골라스,Ranger,5,Rare,195,80,38,18,15,22,0.30,2.0,0.99,0.22,601,606,607,"정령의 축복을 받은 궁수. 마법이 깃든 화살을 사용한다."
char_029,천궁의 아르테미스,Ranger,7,Epic,270,105,55,25,22,28,0.35,2.2,1.00,0.25,601,608,609,"달의 여신의 가호를 받은 궁수. 한 번에 여러 적을 관통하는 기술을 지녔다."
char_030,신궁 오딧세우스,Ranger,10,Legendary,380,140,80,35,30,35,0.40,2.5,1.00,0.30,601,610,611,"전설의 영웅 궁수. 그의 화살은 시공간을 초월하여 목표를 맞춘다."
char_031,지혜의 탐구자 소피아,Sage,1,Common,100,55,10,10,15,10,0.12,1.5,0.93,0.12,701,702,703,"지식을 추구하는 젊은 현자. 마법과 무술을 동시에 수련한다."
char_032,균형의 현자 타오,Sage,3,Uncommon,150,80,16,16,25,13,0.15,1.5,0.95,0.15,701,704,705,"동양 철학을 바탕으로 음양의 조화를 추구하는 현자."
char_033,별의 현자 갈릴레오,Sage,5,Rare,210,115,24,24,38,17,0.18,1.7,0.96,0.18,701,706,707,"천문학과 점성술에 정통한 현자. 별의 힘을 빌려 싸운다."
char_034,대현자 아리스토텔레스,Sage,7,Epic,300,155,35,35,55,21,0.22,2.0,0.98,0.20,701,708,709,"고대의 지혜를 모두 습득한 대현자. 모든 학문의 정점에 선 자."
char_035,만물의 현자 헤르메스,Sage,10,Legendary,420,210,50,50,80,26,0.28,2.3,0.99,0.25,701,710,711,"신과 인간의 경계에 선 존재. 우주의 진리를 깨달은 궁극의 현자."
char_036,화염검사 이그니스,Warrior,4,Uncommon,210,45,28,20,12,11,0.13,1.6,0.94,0.06,101,112,113,"불꽃을 검에 담아 싸우는 특수한 전사. 화산 지대 출신."
char_037,서리방패 프로스트,Knight,4,Uncommon,260,40,22,35,10,9,0.06,1.4,0.93,0.04,201,212,213,"얼음의 힘으로 동료를 보호하는 기사. 북방 왕국의 수호자."
char_038,폭풍술사 템페스트,Wizard,4,Uncommon,125,100,15,10,40,14,0.19,1.9,0.93,0.13,301,312,313,"번개와 폭풍을 다루는 마법사. 날씨를 조종하는 능력을 지녔다."
char_039,자연의 치유사 드루이드,Priest,4,Uncommon,155,90,13,15,35,11,0.08,1.3,0.95,0.11,401,412,413,"자연의 힘으로 치유하는 특별한 사제. 숲의 정령들과 교감한다."
char_040,그림자 쌍검 듀얼,Assassin,4,Uncommon,145,60,35,13,15,23,0.32,2.1,0.88,0.27,501,512,513,"양손에 단검을 든 암살자. 화려한 연속 공격이 특기."
char_041,폭발화살 봄버,Ranger,4,Uncommon,165,70,32,15,13,19,0.27,1.9,0.98,0.20,601,612,613,"폭발하는 특수 화살을 사용하는 궁수. 공성전 전문가."
char_042,룬의 현자 오딘,Sage,4,Uncommon,180,100,20,20,32,15,0.16,1.6,0.96,0.16,701,712,713,"고대 룬 문자의 힘을 사용하는 현자. 북방 신화의 계승자."
char_043,용살자 지크프리트,Warrior,8,Epic,400,70,55,30,18,17,0.22,2.2,0.98,0.09,101,114,115,"용을 사냥하는 전설적인 전사. 용의 비늘로 만든 갑옷을 착용."
char_044,황금기사 미다스,Knight,8,Epic,520,65,42,70,22,14,0.11,1.8,0.97,0.07,201,214,215,"황금으로 빛나는 갑옷의 기사. 부와 명예의 수호자."
char_045,시간술사 크로노스,Wizard,8,Epic,240,180,30,22,75,20,0.27,2.3,0.97,0.19,301,314,315,"시간을 조작하는 희귀한 마법사. 과거와 미래를 볼 수 있다."
char_046,빛의 대사제 루미너스,Priest,8,Epic,320,170,28,30,68,17,0.11,1.6,0.98,0.16,401,414,415,"순수한 빛의 힘을 다루는 대사제. 모든 어둠을 몰아낸다."
char_047,혈월의 암살자 블러드문,Assassin,8,Epic,280,110,70,28,30,35,0.45,2.7,0.94,0.37,501,514,515,"달이 붉게 물든 밤에만 나타나는 전설의 암살자."
char_048,바람의 전령 에올로스,Ranger,8,Epic,340,125,65,30,28,31,0.37,2.3,1.00,0.28,601,614,615,"바람을 타고 이동하는 신출귀몰한 궁수. 어디서든 나타날 수 있다."
char_049,진리의 탐구자 플라톤,Sage,8,Epic,370,180,42,42,62,24,0.25,2.1,0.99,0.22,701,714,715,"이데아의 세계를 탐구하는 철학자. 진리의 힘으로 싸운다."
char_050,무명의 영웅,Warrior,6,Rare,300,55,40,23,14,14,0.18,1.9,0.96,0.08,101,116,117,"이름 없는 영웅. 수많은 전투에서 살아남은 베테랑."
char_051,떠돌이 기사 에런트,Knight,6,Rare,380,50,32,50,16,11,0.09,1.6,0.95,0.06,201,216,217,"주인 없는 떠돌이 기사. 정의를 위해 홀로 싸운다."
char_052,금지된 마법사 타부,Wizard,6,Rare,180,140,22,15,55,17,0.23,2.1,0.95,0.17,301,316,317,"금지된 마법을 연구하는 이단 마법사. 위험하지만 강력하다."
char_053,타락한 사제 폴른,Priest,6,Rare,220,130,20,22,50,14,0.10,1.4,0.96,0.14,401,416,417,"어둠에 물든 타락한 사제. 저주와 치유를 동시에 사용한다."
char_054,붉은 그림자 크림슨,Assassin,6,Rare,200,85,52,20,22,29,0.38,2.4,0.91,0.32,501,516,517,"피로 물든 암살자. 잔인하지만 효율적인 살수."
char_055,은빛 화살 실버,Ranger,6,Rare,230,95,48,22,20,25,0.32,2.1,0.99,0.24,601,616,617,"은으로 만든 화살을 사용하는 궁수. 마물 사냥 전문가."
char_056,방랑 현자 노마드,Sage,6,Rare,270,135,30,30,45,19,0.20,1.8,0.97,0.19,701,716,717,"세계를 떠도는 방랑 현자. 각지의 지혜를 수집한다."
char_057,초보 모험가 알렉스,Warrior,2,Common,150,35,18,13,8,9,0.11,1.4,0.94,0.05,101,102,118,"모험을 막 시작한 열정적인 전사. 무한한 가능성을 지녔다."
char_058,수호의 맹세 가디언,Knight,9,Epic,580,75,48,80,26,16,0.12,1.9,0.98,0.08,201,218,219,"절대 수호의 맹세를 한 기사. 동료가 쓰러지면 더욱 강해진다."
char_059,마나의 지배자 아르카나,Wizard,9,Epic,270,200,32,24,82,21,0.29,2.4,0.98,0.20,301,318,319,"순수 마나를 직접 조작하는 대마법사. 마법의 본질을 꿰뚫었다."
char_060,구원의 손길 살바토레,Priest,9,Epic,380,190,32,32,72,19,0.12,1.7,0.99,0.17,401,418,419,"죽음의 문턱에서 생명을 구하는 기적의 사제. 부활의 권능을 지녔다."
