ID,CharacterName,DialogueText,Position,Expression,Effect,Duration,NextID,Background,BGM,SFX
111,아서 레오하트,(오우거들이 던져준 바위를 발판 삼아 하늘로 뛰어오른다),Right,heroic,zoom,3,112,최종전투,climax_action,jump
112,아서 레오하트,(포효하며) 이것이 우리의 의지다!!!,Right,triumphant,flash,2,113,최종전투,victory_strike,impact
113,고대 서리 비룡,크와아아아아아아-!,Center,dying,shake,3,114,최종전투,dragon_death,roar
114,아서 레오하트,(숨을 헐떡이며) 그라크! 정신 차리게 친구! 의무병! 여기 의무병을 불러다오!,Right,desperate,,3,115,전투후,aftermath,panting
115,그라크,(숨이 끊어질 듯한 낮은 목소리로) ...괜찮다... 친구...,Left,peaceful,fade,3,116,전투후,final_moment,
116,아서 레오하트,(그라크의 차가워지는 손을 붙잡고) ...그라크... 아니... 친구여...,Right,grieving,,3,117,전투후,farewell_friend,crying
117,엘리아스 밴스,(깊이 고개를 숙인다) ...제가 틀렸습니다 마스터.,Left,ashamed,,3,118,임시사무실,redemption_start,
118,엘리아스 밴스,제 데이터는... 생명의 무게를 그리고 신뢰의 가치를 계산하지 못했습니다. 제 계산기에는... 친구의 목숨을 구할 수 있는 공식이 없었습니다. 용서해주십시오.,Left,remorseful,,5,119,임시사무실,confession,
119,아서 레오하트,(천천히 뒤돌아 엘리아스의 어깨를 잡아준다) 용서는 내가 아니라 이 도시를 위해 목숨을 바친 그들에게 구하게.,Right,forgiving,,3,120,임시사무실,forgiveness,
120,아서 레오하트,(엘리아스의 눈을 똑바로 바라본다) 그리고 자네의 기술로 그들의 희생이 헛되지 않았음을 증명해주게. 그것이 자네가 할 수 있는 가장 진실된 사죄일 걸세.,Right,wise,,4,121,임시사무실,redemption_path,
121,엘리아스 밴스,(고개를 들고 결의에 찬 눈으로) ...명령 받들겠습니다. 마스터.,Left,determined,,2,122,임시사무실,new_resolve,
122,카엘,이 땅은... 아버지가 꿈꾸던 곳과 같소 아서. 따뜻하고 모두가 함께 일하는 곳.,Left,peaceful,,3,123,아르테니아,new_home,birds
123,아서 레오하트,(이마의 땀을 닦으며 미소 짓는다) 자네의 아버지가 우리에게 준 마지막 선물이지.,Right,content,,3,124,아르테니아,legacy,
124,아서 레오하트,(나지막이 바람에 실어 보내듯) 「아르테니아 (Arthenia)」 고대어로 '모두의 보금자리'라는 뜻이지.,Right,hopeful,fade,4,125,아르테니아,new_beginning,wind
125,내레이터,카인의 이야기가 시작되기 한 세기 전 그의 할아버지는 무력이 아닌 이해로 벽이 아닌 신뢰로 세상을 구원하는 또 다른 방식이 있음을 증명했다.,Center,,,5,126,아르테니아_전경,epilogue,peaceful_music
126,내레이터,그리고 그 위대한 휴머니즘의 씨앗 서로 다른 존재들이 함께 살아갈 수 있다는 믿음은 '아르카디아 전기'라는 이름으로 100년의 세월을 거쳐 마침내 그의 손자에게로 이어지게 될 터였다.,Center,,fade,6,-1,아르테니아_미래,ending_theme,
200,내레이터,아서 레오하트가 아르테니아를 세운 지 수십 년이 흘렀다. '통곡의 겨울'은 물러갔고 대륙은 점차 온기를 되찾았다.,Center,,,4,201,아르테니아_황금기,peaceful_era,
201,내레이터,아르테니아는 아서의 신념 아래 인간 오우거 그리고 소수의 드워프와 엘프까지 어우러져 사는 대륙 어디에서도 볼 수 없는 기적의 도시로 성장했다.,Center,,,5,202,아르테니아_번영,prosperity,
202,내레이터,아서의 아들이자 길드의 새로운 마스터 리처드 레오하트는 아버지와는 다른 종류의 리더였다. 그는 전장에서 태어난 영웅이 아니라 평화 속에서 자란 학자이자 외교관이었다.,Center,,,5,203,길드_집무실,new_generation,
203,기드온 발레리우스,유감이군요 리처드 경. 당신은 역사의 흐름을 거스르는 선택을 했습니다. 이상에 취해 현실을 보지 못하는 자의 말로는 비참할 뿐입니다.,Left,cold,,4,204,아르테니아_의회,threat,
204,경비병,(문은 박차고 들어오며 얼굴이 새하얗게 질려있다) 북쪽 벽! 북쪽 벽이...!!! 하늘이... 하늘이 용들로 뒤덮였습니다!,Left,terrified,shake,3,205,의회장,alarm,door_slam
205,엘리아스 밴스,마도 방벽 출력 최대로! 모든 포탑 저 거대 개체를 향해 집중 포화! 내 계산으로는 방벽이 버틸 수 있다!,Right,commanding,,3,206,북쪽성벽,battle_command,
206,엘리아스 밴스,...이럴 수가... 내 계산이... 완벽했는데...,Right,shocked,shake,3,207,북쪽성벽,barrier_break,explosion
207,엘리아스 밴스,(허망하게) 이것이... 계산 밖의 변수라는 건가...,Right,defeated,,3,208,무너진성벽,despair,
208,그라크,(엘리아스를 내려다보며 낮은 목소리로) ...우리는... 빚을... 갚는다.,Left,noble,zoom,3,209,무너진성벽,ogre_arrival,footsteps
209,아서 레오하트,(목이 터져라 외친다) 에델가르드의 아들딸들아! 보아라!,Right,rallying,zoom,3,210,무너진성벽,rally_cry,
210,엘리아스 밴스,(혼잣말로 떨리는 목소리로) ...신뢰... 희생... 명예... 내 계산기에는 없는 변수들... 내가... 내가 틀렸어...,Left,revelation,shake,4,211,무너진성벽,realization,
211,엘리아스 밴스,(통신 장치에 대고 절박하게 외친다) 마스터! 아서 마스터! 들립니까!,Left,desperate,flash,3,212,무너진성벽,communication,static
212,아서 레오하트,(숨을 몰아쉬며) 엘리아스?! 살아있었나!,Right,surprised,,2,213,전투중,response,panting
213,엘리아스 밴스,(다급하게) 저 괴물 용의 목 아래! 푸르게 빛나는 역린이 있습니다! 브레스를 뿜기 직전 에너지가 집중되는 순간입니다! 그때가... 그때가 유일한 약점입니다!,Left,urgent,flash,4,214,전투중,weakness_reveal,
214,그라크,(포효하며) 크아아아아!,Left,fierce,shake,2,215,최종전투,sacrifice_charge,roar
215,오우거,(으르렁거리며) 가라! 인간!,Left,supportive,,2,216,최종전투,assist,growl
216,아서 레오하트,(포효하며) 이것이 우리의 의지다!!!,Right,determined,flash,3,217,최종전투,final_strike,sword_impact
217,고대 서리 비룡,'크와아아아아아아-!',Center,dying,shake,3,218,최종전투,dragon_fall,death_cry
218,내레이터,전쟁은 끝났지만 에델가르드는 깊은 상처를 입었다. 그러나 폐허 위에는 이전에는 없었던 새로운 것이 피어나고 있었다. 바로 종족을 넘어선 이해와 유대감이었다.,Center,,,5,-1,에필로그,hope_rising,
