dialogueId,chapterId,nodeId,speaker,dialogueText,emotion,voiceEffect,choices
dialogue_018,chapter_1_3,meeting_3,그라크,"...우리는... 싸우고 싶지 않다. 그냥... 살고 싶다.",간절함,떨리는 목소리,
dialogue_019,chapter_1_3,meeting_4,그라크,"우리 새끼들이... 태양을 보게 해주고 싶다.",슬픔,목멘 소리,
dialogue_020,chapter_1_3,battle_1,아서 레오하트,"모두 방어 진형을 갖춰라!",명령,외침,
dialogue_021,chapter_1_3,battle_2,시스템,"[서리 비룡 떼가 나타났다! 오우거와 인간 모두를 공격하기 시작한다]",긴장,효과음,
dialogue_022,chapter_1_4,battle_end_1,엘리아스 밴스,"마스터! 저 괴물 용의 목 아래, 푸른 역린이 빛날 때가 있다! 브레스를 뿜기 직전, 에너지가 집중되는 순간이야! 그때가 유일한 약점이다!",긴급,외침,
dialogue_023,chapter_1_4,battle_end_2,아서 레오하트,"그라크!!!",절규,외침,
dialogue_024,chapter_1_4,death_1,그라크,"...내... 새끼가... 준... 선물... 너에게... 준다... 친구...",마지막 숨,약해지는 목소리,
dialogue_025,chapter_1_5,aftermath_1,엘리아스 밴스,"...제가 틀렸습니다, 마스터. 제 데이터는 생명의 무게를, 그리고 신뢰의 가치를 계산하지 못했습니다. 용서해주십시오.",후회,떨리는 목소리,
dialogue_026,chapter_1_5,aftermath_2,아서 레오하트,"용서는 내가 아니라, 이 도시를 위해 목숨을 바친 그들에게 구하게. 그리고 자네의 기술로, 그들의 희생이 헛되지 않았음을 증명해주게.",용서,따뜻함,
dialogue_027,chapter_2_1,new_era_1,기드온 발레리우스,"참으로 흥미로운 도시로군요, 리처드 경. 마치... 동물 우화집의 한 페이지를 보는 것 같습니다.",조롱,예의바른 독,
dialogue_028,chapter_2_1,new_era_2,리처드 레오하트,"우리는 이곳을 '가족'이라 부릅니다, 기드온 경. 동물 우화가 아니라, 함께 쓰는 역사책이지요.",반박,침착함,
dialogue_029,chapter_2_1,proposal_1,기드온 발레리우스,"다만, 한 가지 조건이 있습니다. 우리의 지원은 '인간의 번영'을 위한 것입니다.",위협,차가운 미소,
dialogue_030,chapter_2_1,proposal_2,기드온 발레리우스,"이 도시에 있는 '비-인간' 요소들을 정리하고, 순수한 인간의 도시로 거듭난다면, 우리는 당신들을 형제로서 받아들일 것입니다.",최후통첩,단호함,
dialogue_031,chapter_2_2,conflict_1,카엘,"리처드! 저들의 혀에 놀아날 셈인가! 내 아버지는 저런 인간들을 위해 목숨을 바친 게 아니었어!",분노,주먹질,
dialogue_032,chapter_2_2,conflict_2,카엘,"당장 저들을 쫓아내고 전쟁을 준비해야 한다!",주장,격앙,
dialogue_033,chapter_2_2,conflict_3,리처드 레오하트,"진정하게, 카엘. 전쟁은 최후의 수단이야. 대화로 풀 수 있을지도 몰라.",진정,설득,
dialogue_034,chapter_2_2,conflict_4,카엘,"대화? 저들은 우리를 벌레 보듯 하고 있는데! 자네 아버님이었다면... 아서 경이었다면 이렇게 망설이지 않았을 거다!",비난,아픔,
dialogue_035,chapter_2_2,advice_1,엘리아스 밴스,"리처드. 자네는 아서 님이 아니네. 자네는 자네의 방식으로 답을 찾아야 해.",조언,차분함,
dialogue_036,chapter_2_2,advice_2,엘리아스 밴스,"중요한 것은 '누구처럼' 행동하느냐가 아니라, '무엇을 위해' 행동하느냐일세. 아서 님과 그라크가 목숨으로 지켜낸 가치가 무엇이었는지 잊지 말게.",지혜,온화함,
dialogue_037,chapter_2_3,decision_1,리처드 레오하트,"기드온 경, 당신의 제안에 대한 답을 드리겠습니다. 아르테니아는 단 한 명의 가족도 포기하지 않을 것입니다.",결단,확고함,
dialogue_038,chapter_2_3,decision_2,리처드 레오하트,"오우거, 드워프, 엘프... 그리고 인간. 우리 모두가 아르테니아입니다. 당신의 제안은 거절하겠습니다.",선언,당당함,
dialogue_039,chapter_2_3,threat_1,기드온 발레리우스,"유감이군요, 리처드 경. 당신은 역사의 흐름을 거스르는 선택을 했습니다.",위협,싸늘함,
dialogue_040,chapter_2_3,threat_2,기드온 발레리우스,"이상에 취해 현실을 보지 못하는 자의 말로는 비참할 뿐입니다.",경고,차가운 미소,
dialogue_041,chapter_2_4,battle_1,기드온 발레리우스,"이 무의미한 저항을 끝냅시다, 리처드 경! 당신을 꺾고, 이 도시를 '정화'하겠습니다!",전투,외침,
dialogue_042,chapter_2_4,battle_2,기드온 발레리우스,"역시 당신은 영웅의 아들일 뿐, 영웅은 아니었군요!",조롱,숨찬 소리,
dialogue_043,chapter_2_4,sacrifice_1,카엘,"...리처드! 넌 혼자가 아니야!",희생,외침,
dialogue_044,chapter_2_4,death_1,카엘,"...리처드... 네 아버지는... 위대한 분이셨지. 하지만... 넌... 좋은 친구야. 그걸로... 충분해...",마지막,약해지는 목소리,
dialogue_045,epilogue,legacy_1,리처드 레오하트,"아들아. 나는 네게 완벽한 세상을 물려주지 못했다. 하지만 나는 네게 '희망'을 물려주마.",희망,따뜻함,
dialogue_046,epilogue,legacy_2,리처드 레오하트,"벽을 허물고, 서로 다른 존재를 이해하고, 손을 내밀 용기를. 언젠가 네가 이 아르테니아의 횃불을 들고, 세상의 어둠을 밝히는 날이 올 것이다.",기대,부드러움,
